World bank projects, downloaded 01-05-2021 07:46:46 am								
Project Name	Country	Project Id	Commitment Amount	Status	Approval Date	Last updated Date	Project Development Objective	Consultant Services Required
Digital Inclusion and Innovation in Public Services in Argentina	Argentina	P174946	80.00	Activo	2021-03-30T00:00:00Z	2021-03-31T00:00:00Z	To improve the efficiency of and access to selected digital administrative services	
Additional Financing for Supporting Effective Universal Health Coverage in Argentina	Argentina	P174913	250.00	Activo	2021-03-30T00:00:00Z	2021-03-10T00:00:00Z	The Development Objective of the proposed Project would be to: (i) increase effective and equitable coverage of key health services provided to the eligible population; and (ii) increase the institutional capacity of the MSN and MSPs to implement mechanisms for an  integrated delivery system.	Yes
BUENOS AIRES WATER SUPPLY AND SANITATION WITH A FOCUS ON VULNERABLE AREAS PROGRAM	Argentina	P172689	300.00	Activo	2021-02-25T00:00:00Z	2021-02-25T00:00:00Z	The Program Development Objectives are to increase access to safely managed water and sanitation services with a focus on vulnerable  areas of Buenos Aires, and improve AySA¥s efficiency and capacity to respond to water and sanitation emergency needs	
AR: COVID-19 Emergency Response Project	Argentina	P173767	35.00	Activo	2020-04-02T00:00:00Z	2021-02-04T00:00:00Z	To strengthen preparedness and response efforts against the COVID-19 pandemic and national systems for public health preparedness in  Argentina	
Second Additional Financing for the Children and Youth Protection Project	Argentina	P173081	300.00	Activo	2020-03-24T00:00:00Z	2020-03-13T00:00:00Z	The Project Development Objectives are to: (i) expand coverage of the Family Allowances programs; and (ii) improve transparency of s ocial protection programs implemented by ANSES.	Yes
Supporting the Electricity Social Tariff Transition in the Province of Buenos Aires	Argentina	P170329	150.00	Activo	2019-09-05T00:00:00Z	2021-01-27T00:00:00Z	Support the transition of the electricity social tariff scheme from the federal to the Buenos Aires provincial level, while strength ening the institutional capacity of the province of Buenos Aires to implement ST delivery	Yes
Matanza-Riachuelo Basin (MRB) Sustainable Development Project Additional Financing	Argentina	P171197	245.00	Activo	2019-09-05T00:00:00Z	2019-08-07T00:00:00Z	The overall development objective of the proposed APL program supports the Government's Integrated Basin Cleanup whilesimultaneously  improving sanitary conditions along the banks of La Plata River and providing a long-term and cost-effectivesolution for safe dispo sal of wastewater from the Buenos Aires Metropolitan Area (AySAs concession area). The two stage APL programthat contributes to this  objective and the allocation of works and activities under each APL has been specifically designed toensure that APL-1 can be free- standing, with no stranded assets at the end of the first stage.  The project (APL-1) development objectives contribute to the o verall program development objective by (i) improving sewerageservices in the M-R River Basin and other parts of the Province and Ci ty of Buenos Aires by expanding transport and treatmentcapacity; (ii) supporting a reduction of industrial discharges to the M-R Riv er, through the provision of industrial conversiongrants to small and medium enterprises; (iii) promoting improved decision-making f or environmentally-sustainable land use anddrainage planning, and piloting urban drainage and land use investments, in the M-R River  Basin; and (iv) strengthening ACUMAR#sinstitutional framework for ongoing and sustainable clean-up of the M-R River Basin.	Yes
Second Inclusive Growth Programmatic DPF	Argentina	P168713	500.00	Cerrado	2019-07-11T00:00:00Z	2020-06-17T00:00:00Z	The Development Objectives of the operation are (i) strengthening the foundation for private sector led growth, and (ii) strengtheni ng the social safety net and enhance fiscal equity	
Improving Inclusion in Secondary and Higher Education	Argentina	P168911	341.00	Activo	2019-06-28T00:00:00Z	2021-04-22T00:00:00Z	The objectives of the Operation are to (i) reduce dropout rates in basic and higher education among the most vulnerable; and (ii) st rengthen the Borrowers education evaluation systems.	
Metropolitan Buenos Aires Urban Transformation Project Additional Financing	Argentina	P166935	100.00	Activo	2019-06-18T00:00:00Z	2019-05-29T00:00:00Z	The Project Development Objectives are to improve housing conditions and access to selected basic services and infrastructure in sel ected disadvantaged neighborhoods in the Buenos Aires Metropolitan Area (AMBA), and strengthen the institutional capacity for urban management at the metropolitan level.	Yes
Additional Financing Children and Youth Protection Project	Argentina	P167851	450.00	Activo	2018-11-01T00:00:00Z	2018-09-29T00:00:00Z	The Project Development Objectives are to: (i) expand coverage of the Family Allowances programs; and (ii) improve transparency of s ocial protection programs implemented by ANSES.	
Argentina First Inclusive Growth Programmatic DPF	Argentina	P167889	500.00	Cerrado	2018-11-01T00:00:00Z	2020-12-16T00:00:00Z	The Development Objectives of the operation are the following: (i) strengthening the foundations for private sector-led growth, and (ii) strengthening the social safety net and enhancing fiscal equity.	
Integrated Risk Management in the Rural Agroindustrial System	Argentina	P162316	150.00	Activo	2018-05-24T00:00:00Z	2021-04-08T00:00:00Z	The objective of the project is to improve the management of agricultural risks by eligible beneficiaries and selected public instit utions.	
Supporting Effective Universal Health Coverage in Argentina	Argentina	P163345	300.00	Activo	2018-05-18T00:00:00Z	2021-02-08T00:00:00Z	The Development Objective of the proposed Project would be to: (i) increase effective and equitable coverage of key health services provided to the eligible population; and (ii) increase the institutional capacity of the MSN and MSPs to implement mechanisms for an  integrated delivery system.	TBD
Renewable Fund Guarantee	Argentina	P165085	250.00	Activo	2018-03-15T00:00:00Z	2020-01-09T00:00:00Z	Support the development of renewable energy in Argentina through private sector investments.	
Northwestern Road Development Corridor Project	Argentina	P163115	300.00	Activo	2017-12-14T00:00:00Z	2021-03-04T00:00:00Z	The Proposed Project Development Objectives (PDO) are to improve connectivity and road safety along targeted road sections of the No rthwestern Corridor and to support corridor development in the Northwest of Argentina.	
Proyecto de Apoyo a la GestiÛn Integrada de la Cuenca del RÌo Salado	Argentina	P161798	300.00	Activo	2017-04-06T00:00:00Z	2021-04-06T00:00:00Z	To enhance flood protection and strengthen the capacity of the responsible institutions for integrated water resources monitoring an d management in the Salado River Basin.	
Proyecto de Abastecimiento de Agua y Saneamiento: Plan Belgrano	Argentina	P162712	125.00	Cerrado	2017-03-24T00:00:00Z	2017-02-23T00:00:00Z	The proposed new Project Development Objectives are to increase access to water supply and sanitation services and to improve the operational and financial performance of the water supply and sanitation service providers in the project area.	
Fondo para el Desarrollo de EnergÌas Renovables: Fondo de GarantÌa Renovable de Argentina	Argentina	P159901	480.00	Activo	2017-02-28T00:00:00Z	2021-02-08T00:00:00Z	The project development objective is to increase electricity generation capacity  from  renewable energy sources through private investment in the energy sector.	
Proyecto de TransformaciÛn Urbana del AMBA	Argentina	P159843	200.00	Activo	2017-02-27T00:00:00Z	2021-03-05T00:00:00Z	The Project Development Objectives are to improve housing conditions and access to selected basic services and infrastructure in sel ected disadvantaged neighborhoods in the Buenos Aires Metropolitan Area (AMBA), and strengthen the institutional capacity for urban management at the metropolitan level.	
Proyecto Integrado de H·bitat y Vivienda	Argentina	P159929	200.00	Activo	2017-02-27T00:00:00Z	2021-04-23T00:00:00Z	The proposed Project's development objectives are to: (i) increase access to formal housing for eligible households; and (ii) improv e living conditions for households in selected precarious urban settlements.	
Proyecto de ModernizaciÛn e InnovaciÛn de los Servicios P˙blicos en Argentina	Argentina	P157136	80.00	Activo	2017-02-21T00:00:00Z	2020-12-11T00:00:00Z	To improve the quality and accessibility of selected government administrative services and enhance transparency in the public admin istration.	
Proyecto de Transporte Urbano para ¡reas Metropolitanas	Argentina	P161393	45.00	Activo	2017-01-27T00:00:00Z	2018-01-18T00:00:00Z	The overall development objective of the program is to improve the quality and sustainability of urban transport systems in Argentine Metropolitan Areas, through the improvement of sectoral decision making frameworks and by giving priority to public transport modes in the urban transport sector. The project (APL1) development objectives contribute to the overall program development objective by: (i) supporting the design and creation of a multijurisdictional Metropolitan Transport Agency for the Buenos Aires Metropolitan Area (AMBA); (ii) strengthening the institutional capacity of the transport authorities in decision making, planning, priority setting, and resource allocation in urban transport; (iii) improving the quality and performance of urban transport infrastructure and/orservices in medium size Metropolitan Areas; and (iv) improving the physical integration and access to public transport networks in the Buenos Aires Metropolitan Area.	
Proyecto de Acceso a Financiamiento a Largo Plazo para Microempresas y PequeÒas y Medianas Empresas	Argentina	P159515	50.00	Activo	2016-11-18T00:00:00Z	2021-03-12T00:00:00Z	The Project Development Objectives (PDO) are to improve access to, and strengthen the framework for the provision of, longer term fi nance for eligible micro, small and medium enterprises.	
Financiamiento Adicional para el Proyecto de Fomento de la InnovaciÛn Productiva	Argentina	P159747	45.00	Activo	2016-07-08T00:00:00Z	2016-07-12T00:00:00Z	The Objective of the Project is to expand the Borrower's capacity to generate productiveinnovation in knowledge-based areas by: (a) facilitating the creation of new knowledge-basedcompanies; (b) developing specialized human capital; (c) supporting productive researchinnovation activities and their technology commercialization in the areas of biotechnology,nanotechnology and information and communication technology; (d) upgrading the researchinfrastructure in the areas of science, technology and productive innovation; and (e) strengtheningthe policy framework governing science, technology, and productive innovation.	
Proyecto para la ProtecciÛn de los NiÒos y los JÛvenes	Argentina	P158791	600.00	Activo	2016-06-30T00:00:00Z	2021-03-26T00:00:00Z	The Project Development Objectives are to: (i) expand coverage of the Family Allowances programs; and (ii) improve transparency of s ocial protection programs implemented by ANSES.	
Argentina: Proyecto de Apoyo a la GestiÛn del Riesgo de Inundaciones en la Ciudad AutÛnoma de Buenos Aires	Argentina	P145686	200.00	Activo	2016-06-22T00:00:00Z	2021-04-22T00:00:00Z	Strengthen the Autonomous City of Buenos Aires to efficiently manage flood risk and improve the drainage systems in the Cildanez Bas in, Maldonado Basin, and Vega Basin.	
Financiamiento adicional para el Proyecto de Desarrollo de Seguros P˙blicos Provinciales de Salud de Argentina	Argentina	P154431	200.00	Activo	2015-07-07T00:00:00Z	2015-07-08T00:00:00Z	The PDOs are to: (a) increase utilization and quality of key health services for the uninsured target population; and (b) improve institutional management by strengthening the incentives for results in Participating Provinces and among Authorized Providers.	
InclusiÛn SocioeconÛmica en Zonas Rurales de Argentina	Argentina	P106685	52.50	Activo	2015-06-11T00:00:00Z	2021-04-08T00:00:00Z	To increase the socio-economic inclusion of rural poor (small producers, indigenous people, and rural workers) by: (a) strengthening their organizational, planning and management capacity to achieve poverty-reduction goals; (b) improving their access to communityinfrastructure and services; and (c) piloting a new model for developing sustainable access to markets.	
Proyecto de ProtecciÛn de Personas Vulnerables frente a Enfermedades No Transmisibles	Argentina	P133193	350.00	Activo	2015-06-11T00:00:00Z	2021-02-15T00:00:00Z	To contribute to: (i) improving the readiness of public health facilities to deliver higher quality NCD-services for vulnerable population groups and expanding the scope of selected services; and (ii) protecting vulnerable population groups against prevalent NCD risk factors.	
Proyecto de Bosques y Comunidad	Argentina	P132846	58.76	Activo	2015-04-07T00:00:00Z	2021-04-23T00:00:00Z	Project Development Objective (from Project Appraisal Document)  The Project Development Objective is to improve forest management; and increase access to markets and basic services by small forest producers including indigenous and campesinos in selected Northern Provinces of Argentina	
